"segment_name","file_location","lead_count","verified_emails","campaign_status","assigned_domain","assigned_campaign"
"P2GC_SAM_NonVehicle_Segments","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\P2GC_SAM_NonVehicle_Segments.xlsx","","","Unknown","",""
"non_vehicle_qualification_segmentation","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\non_vehicle_qualification_segmentation.py","","","Unknown","",""
"vehicle_master_segmentation_FINAL","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\vehicle_master_segmentation_FINAL.py","","","Unknown","",""
"P2GC_NON_HOLDERS_SEGMENTED","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\MASTER\P2GC_NON_HOLDERS_SEGMENTED.csv","","","Unknown","",""
"SBS_SEGMENTED_TARGETS_TECH","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_TECH.csv","3741","","Unknown","",""
"SBS_SEGMENTED_TARGETS_CONSULTING","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_CONSULTING.csv","758","","Unknown","",""
"SBS_SEGMENTED_TARGETS_ENGINEERING","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_ENGINEERING.csv","80","","Unknown","",""
"SBS_SEGMENTED_TARGETS_OTHER","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS_OTHER.csv","300","","Unknown","",""
"SBS_SEGMENTED_TARGETS","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\MASTER\SBS_SEGMENTED_TARGETS.csv","4879","","Unknown","",""
"HAS_EMAIL_READY_FOR_OUTREACH","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\EVENTS\HAS_EMAIL_READY_FOR_OUTREACH.csv","26411","","Unknown","",""
"segment_targets","D:\P2GC_Intelligence\ORION_CORE\Scripts\before 5-6-26\segment_targets.py","","","Unknown","",""
"p2gc_segment_engine","D:\P2GC_Intelligence\ORION_CORE\Opportunity_Engine\p2gc_segment_engine.py","","","Unknown","",""
"p2gc_segment_engine.cpython-314","D:\P2GC_Intelligence\ORION_CORE\Opportunity_Engine\__pycache__\p2gc_segment_engine.cpython-314.pyc","","","Unknown","",""
"P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS","D:\P2GC_Intelligence\ORION_CORE\Filtered_Lead_Pools\P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS.xlsx","","","Unknown","",""
"P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS.xlsx","","","Unknown","",""
"p2gc_evan_segmentation_upgrade","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\p2gc_evan_segmentation_upgrade.py","","","Unknown","",""
"P2GC_EVAN_SEGMENTED_MASTER_V2","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_EVAN_SEGMENTED_MASTER_V2.csv","360374","","Unknown","",""
"p2gc_sam_segment_loader","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\p2gc_sam_segment_loader.py","","","Unknown","",""
"P2GC_MASTER_WITH_SEGMENTS","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_MASTER_WITH_SEGMENTS.csv","361873","","Unknown","",""
"P2GC_SEGMENT_MANUFACTURING_EQUIPMENT","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_MANUFACTURING_EQUIPMENT.csv","45396","","Unknown","",""
"P2GC_SEGMENT_OTHER_ELIGIBLE","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_OTHER_ELIGIBLE.csv","46215","","Unknown","",""
"P2GC_SEGMENT_IT_SERVICES","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_IT_SERVICES.csv","39616","","Unknown","",""
"P2GC_SEGMENT_ENGINEERING","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_ENGINEERING.csv","25471","","Unknown","",""
"P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES.csv","20466","","Unknown","",""
"P2GC_SEGMENT_SPECIALTY_TRADE","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_SPECIALTY_TRADE.csv","39445","","Unknown","",""
"P2GC_SEGMENT_REAL_ESTATE_RENTAL","D:\P2GC_Intelligence\ORION_CORE\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_REAL_ESTATE_RENTAL.csv","17809","","Unknown","",""
